Gene,Num_nodes
Nr2e3_MA0164.1,4
ZN768_HUMAN.H11MO.0.C,4
RBM42,4
ZSC31_HUMAN.H11MO.0.C,4
PABPC5,4
SNAI2_C2H2_1,4
ZSCAN4_C2H2_1,4
ZNF41_HUMAN.H11MO.0.C,4
NANOG_HUMAN.H11MO.0.A,4
U2AF2,4
Atoh1.mouse_bHLH_1,4
KLF13_C2H2_1,4
Tp53.mouse_p53l_1,4
ZNF143_C2H2_1,4
(HNRNPR)_(Gallus_gallus)_(RBD_0.97),4
STA5A_HUMAN.H11MO.0.A,4
NFIA_NFI_1,4
E2F1_HUMAN.H11MO.0.A,4
SCRT1_C2H2_1,4
ATF7_MA0834.1,4
TIA1,4
BACH1_HUMAN.H11MO.0.A,5
SPI1_ETS_1,5
THRB_nuclearreceptor_3,5
PABPC3,5
MZF1_HUMAN.H11MO.0.B,5
FOXO1_forkhead_2,5
Z324A_HUMAN.H11MO.0.C,5
RBMY1A1,5
COE1_HUMAN.H11MO.0.A,5
MYBA_MOUSE.H11MO.0.C,5
RFX1_HUMAN.H11MO.0.B,5
SOX5_HUMAN.H11MO.0.C,5
ZNF784_C2H2_1,5
ZBTB49_C2H2_1,5
NKX28_HUMAN.H11MO.0.C,5
HOXA10_homeodomain_1,5
NR1H3_HUMAN.H11MO.0.B,5
POU1F1_POU_1,5
Arid3a_MA0151.1,5
AP2A_HUMAN.H11MO.0.A,6
SIX1_HUMAN.H11MO.0.A,6
NFAT5_MA0606.1,6
ALX3_MA0634.1,6
CEBPA_HUMAN.H11MO.0.A,6
ATF3_MOUSE.H11MO.0.A,6
SMAD2_MOUSE.H11MO.0.A,6
COT1_HUMAN.H11MO.0.C,6
ZKSC1_HUMAN.H11MO.0.B,6
PRDM1_C2H2_1,6
Zfp652.mouse_C2H2_1,6
PABPC1,6
FOXB1_forkhead_2,7
ARNTL_bHLH_1,7
ZN384_HUMAN.H11MO.0.C,7
IRF2_MA0051.1,7
RBMS3,7
GFI1B_HUMAN.H11MO.0.A,7
CPEB1_RRM_1,7
MEIS1_MA0498.2,7
ATF4_HUMAN.H11MO.0.A,7
EVI1_HUMAN.H11MO.0.B,7
REST_HUMAN.H11MO.0.A,7
ZN431_MOUSE.H11MO.0.C,7
CUX2_MOUSE.H11MO.0.C,7
PIT1_HUMAN.H11MO.0.C,7
OZF_HUMAN.H11MO.0.C,7
HNF4A_HUMAN.H11MO.0.A,7
KHDRBS3,7
Z354A_HUMAN.H11MO.0.C,8
PEBB_HUMAN.H11MO.0.C,8
ZBT7A_HUMAN.H11MO.0.A,8
HAND1_MOUSE.H11MO.0.C,8
ZN140_HUMAN.H11MO.0.C,8
PABPC4,8
ELAVL2,8
ZN250_HUMAN.H11MO.0.C,8
ASCL1_HUMAN.H11MO.0.A,9
LIN54_MA0619.1,9
TYY1_HUMAN.H11MO.0.A,9
SOX10_HMG_4,9
CRX_HUMAN.H11MO.0.B,9
ZN449_HUMAN.H11MO.0.C,9
ZN667_HUMAN.H11MO.0.C,9
ZN586_HUMAN.H11MO.0.C,9
ERR2_MOUSE.H11MO.0.A,10
OSR2_HUMAN.H11MO.0.C,10
NKX2-3_MA0672.1,10
RBPJ_MA1116.1,10
CTCFL_HUMAN.H11MO.0.A,10
Dux_MA0611.1,11
EOMES_MA0800.1,11
Ddit3+Cebpa_MA0019.1,11
NFKB1_MA0105.4,11
PO2F1_HUMAN.H11MO.0.C,11
ZNF524_C2H2_1,11
ZNF24_MA1124.1,11
SOX9_HMG_3,11
MAFB_HUMAN.H11MO.0.B,12
TEAD1_HUMAN.H11MO.0.A,12
MEOX2_homeodomain_3,12
EWSR1-FLI1_MA0149.1,12
ZIM3_HUMAN.H11MO.0.C,12
HXA10_HUMAN.H11MO.0.C,13
FUS,13
EHF_HUMAN.H11MO.0.B,14
BC11A_HUMAN.H11MO.0.A,14
KLF15_HUMAN.H11MO.0.A,14
ZN554_HUMAN.H11MO.0.C,15
AIRE_HUMAN.H11MO.0.C,15
NFIA_MA0670.1,15
HNRNPC,16
LEF1_HMG_1,16
LEF1_HUMAN.H11MO.0.A,16
ZN708_HUMAN.H11MO.0.C,17
BRAC_HUMAN.H11MO.0.A,17
Six3_MA0631.1,17
NR2F1_nuclearreceptor_2,17
ANDR_HUMAN.H11MO.0.A,17
SOX10_HUMAN.H11MO.0.B,17
MEF2A_HUMAN.H11MO.0.A,18
hnRNPLL,19
FOXC1_forkhead_1,21
EGR1_HUMAN.H11MO.0.A,21
NFAC1_HUMAN.H11MO.0.B,23
ERR1_HUMAN.H11MO.0.A,23
ZN121_HUMAN.H11MO.0.C,37
Arid5a_MA0602.1,46
GATA1+TAL1_MA0140.2,50
ZNF384_MA1125.1,51
