Gene,Num_nodes
,0
RBM6,1
CNOT4,1
RBM5,1
BRUNOL4,1
MTF1_C2H2_1,1
ZFP57_MOUSE.H11MO.0.B,1
Tp53.mouse_p53l_2,1
RBM24,1
MYBL1_MYB_1,1
VENTX_homeodomain_2,1
SRBP1_HUMAN.H11MO.0.A,1
CDX1_HUMAN.H11MO.0.C,1
FOXO1_forkhead_3,1
EGR1_C2H2_1,1
NR4A2_nuclearreceptor_1,1
PRDM4_C2H2_1,1
HIC2_C2H2_1,1
ESRP2,1
HINFP1_C2H2_1,1
ZN563_HUMAN.H11MO.0.C,1
SAMD4A,1
NRF1_HUMAN.H11MO.0.A,1
E2F7_E2F_1,1
ZN320_HUMAN.H11MO.0.C,1
CSDA,1
ZBT14_HUMAN.H11MO.0.C,1
ENSG00000215042,1
HSF1_HSF_1,1
GMEB2_MA0862.1,1
RBM41,1
BRUNOL5,1
ZN680_HUMAN.H11MO.0.C,1
ATF1_HUMAN.H11MO.0.B,1
NFIA_HUMAN.H11MO.0.C,1
HINFP1_C2H2_2,1
PAX5_HUMAN.H11MO.0.A,1
(PCBP3)_(Mus_musculus)_(RBD_1.00),1
ZNF713_C2H2_1,1
SRSF9,1
Fusip1,1
SMAD3_HUMAN.H11MO.0.B,1
RBM28,1
BATF3_HUMAN.H11MO.0.B,1
BRUNOL6,1
(RBM47)_(Gallus_gallus)_(RBD_0.96),1
ESR1_HUMAN.H11MO.0.A,1
RFX5_HUMAN.H11MO.0.A,1
EOMES_TBX_2,1
ZN257_HUMAN.H11MO.0.C,1
ZN136_HUMAN.H11MO.0.C,1
ARI5B_HUMAN.H11MO.0.C,1
SPDEF_ETS_3,1
NFATC1_NFAT_3,1
(SRSF4)_(Drosophila_melanogaster)_(RBD_0.77),1
ZN331_HUMAN.H11MO.0.C,1
ZNF435_C2H2_1,1
PRD16_MOUSE.H11MO.0.B,1
EMX1_homeodomain_2,1
PBX1_HUMAN.H11MO.0.A,1
FOXG1_forkhead_2,1
SOX10_HMG_2,1
ZN528_HUMAN.H11MO.0.C,1
PCBP1,1
MYBL1_MA0776.1,1
ENOX1,1
HOMEZ_HOMEZ_1,1
HNRNPL,1
SOX10_HMG_3,1
KLF8_HUMAN.H11MO.0.C,2
PCBP2,2
SRSF2,2
FIGLA_MA0820.1,2
P53_HUMAN.H11MO.0.A,2
ANDR_MOUSE.H11MO.0.A,2
RBM8A,2
(MEX3B)_(Drosophila_melanogaster)_(RBD_0.88),2
ZBT48_HUMAN.H11MO.0.C,2
LIN28A,2
A2BP1,2
CPEB2,2
Lhx3_MA0135.1,2
BARX1_homeodomain_1,2
RBMS1,2
YBX2,2
ZN322_HUMAN.H11MO.0.B,2
MBD2_HUMAN.H11MO.0.B,2
GRHL1_CP2_1,2
MZF1_MA0056.1,2
PABPN1,2
NFAC1_MOUSE.H11MO.0.A,2
ZNF85_HUMAN.H11MO.0.C,2
PRD14_HUMAN.H11MO.0.A,2
INSM1_HUMAN.H11MO.0.C,2
CPEB4,2
(SF3B4)_(Danio_rerio)_(RBD_1.00),2
SMAD3_MA0795.1,2
FEZF1_HUMAN.H11MO.0.C,2
ZFP28_HUMAN.H11MO.0.C,2
PLAG1_MA0163.1,2
HNRNPA1L2,2
MATR3,2
GLIS1_C2H2_1,2
NFKB1_HUMAN.H11MO.1.B,2
PRDM5_MOUSE.H11MO.0.A,2
(SYNCRIP)_(Xenopus_tropicalis)_(RBD_0.97),2
HNRNPH2,2
BCL6_HUMAN.H11MO.0.A,2
CUX1_CUT_2,3
NR2E1_nuclearreceptor_1,3
PRDM9_MOUSE.H11MO.0.C,3
NONO,3
RXRA_nuclearreceptor_2,3
SNRNP70,3
HEN1_HUMAN.H11MO.0.C,3
BARX1_MOUSE.H11MO.0.C,3
DMRT3_MA0610.1,3
HNF1A_HUMAN.H11MO.0.C,3
HXA1_HUMAN.H11MO.0.C,3
SMAD2+SMAD3+SMAD4_MA0513.1,3
RALY,3
ZN418_HUMAN.H11MO.0.C,3
SRF_HUMAN.H11MO.0.A,3
NR1D1_HUMAN.H11MO.0.B,3
ZNF354C_MA0130.1,3
GLI1_MOUSE.H11MO.0.C,3
CLOCK_HUMAN.H11MO.0.C,3
THRA_nuclearreceptor_1,3
SMCA1_HUMAN.H11MO.0.C,3
ZN134_HUMAN.H11MO.0.C,3
MYBL1_MYB_3,3
(RBM38)_(Mus_musculus)_(RBD_0.99),3
NOVA2,3
IRX2_homeodomain_1,3
HIC1_HUMAN.H11MO.0.C,3
IKZF1_HUMAN.H11MO.0.C,3
ZN329_HUMAN.H11MO.0.C,3
HXB7_HUMAN.H11MO.0.C,3
TBP_HUMAN.H11MO.0.A,3
KHDRBS1,3
ZFX_HUMAN.H11MO.0.A,4
KAISO_HUMAN.H11MO.0.A,4
HNRNPCL1,4
REL_HUMAN.H11MO.0.B,4
ZBTB6_HUMAN.H11MO.0.C,4
