,node,cCRE,fisher_stat,pval
15677,467_n1088,PLS,4.538257408226449,0.0001006328270353395
13570,533_n581,CA-H3K4me3,4.476482617586912,0.001410177365964409
12267,1403_n2071,TF,4.476482617586912,0.001410177365964409
14396,1359_n1720,CA-H3K4me3,4.377237419790611,0.020773010022215304
16155,945_n1440,PLS,4.377237419790611,0.020773010022215304
14650,1613_n541,CA-H3K4me3,4.377237419790611,0.020773010022215304
14550,1513_n1373,CA-H3K4me3,4.377237419790611,0.020773010022215304
14002,965_n2489,CA-H3K4me3,4.377237419790611,0.020773010022215304
13869,832_n1627,CA-H3K4me3,4.377237419790611,0.020773010022215304
16096,886_n1017,PLS,4.377237419790611,0.020773010022215304
11639,775_n402,TF,4.377237419790611,0.020773010022215304
18990,1607_n112,exon,4.342899492257718,3.0554755900561944e-17
11745,881_n2491,TF,4.306205493387589,0.006909275601854763
14113,1076_n1911,CA-H3K4me3,4.306205493387589,0.006909275601854763
11701,837_n866,TF,4.268641470888662,0.0023423870984854004
3921,1749_n957,CA-CTCF,4.268641470888662,0.0023423870984854004
11418,554_n2117,TF,4.268641470888662,0.0023423870984854004
3971,1799_n46,CA-CTCF,4.247863247863248,0.0008029877072544819
1789,1790_n1351,pELS,4.242201191728006,1.3899377753060145e-06
12736,1872_n1462,TF,4.2316442605997935,9.596938844500041e-05
11394,530_n1208,TF,4.073770491803279,0.0013209013131801604
2642,470_n738,CA-CTCF,4.048780487804878,0.011414487438476551
14721,1684_n2648,CA-H3K4me3,4.048780487804878,0.011414487438476551
13772,735_n2092,CA-H3K4me3,4.048780487804878,0.011414487438476551
14327,1290_n136,CA-H3K4me3,4.036437246963563,0.03449142539805221
12138,1274_n113,TF,4.036437246963563,0.03449142539805221
14859,1822_n2339,CA-H3K4me3,4.036437246963563,0.03449142539805221
14852,1815_n2056,CA-H3K4me3,4.036437246963563,0.03449142539805221
14585,1548_n1026,CA-H3K4me3,4.036437246963563,0.03449142539805221
14152,1115_n583,CA-H3K4me3,4.036437246963563,0.03449142539805221
3457,1285_n2400,CA-CTCF,3.9669762641898867,0.00025764234024735637
9086,395_n1174,dELS,3.937686318775144,1.411572852924651e-30
12995,2131_n2943,TF,3.9000341180484477,0.002156348440036732
17011,1801_n640,PLS,3.7918781725888326,0.018659416930059198
14406,1369_n2430,CA-H3K4me3,3.7918781725888326,0.018659416930059198
3711,1539_n1659,CA-CTCF,3.7918781725888326,0.018659416930059198
3467,1295_n226,CA-CTCF,3.7867409797594602,0.001205619287274557
2681,509_n512,CA-CTCF,3.7867409797594602,0.001205619287274557
11765,901_n309,TF,3.7867409797594602,0.001205619287274557
16621,1411_n833,PLS,3.7266530334014996,0.0034917029496548476
12320,1456_n2235,TF,3.6476578411405294,0.010192939538580128
4177,2005_n2312,CA-CTCF,3.6476578411405294,0.010192939538580128
11033,169_n603,TF,3.6476578411405294,0.010192939538580128
11893,1029_n1394,TF,3.6476578411405294,0.010192939538580128
11143,279_n340,TF,3.6476578411405294,0.010192939538580128
2723,551_n2586,CA-CTCF,3.6476578411405294,0.010192939538580128
11117,253_n106,TF,3.6476578411405294,0.010192939538580128
10942,78_n817,TF,3.6476578411405294,0.010192939538580128
2583,411_n1203,CA-CTCF,3.6373626373626373,0.0019398950613056575
10309,1618_n2524,dELS,3.590015128593041,2.3053782832604734e-30
2576,404_n197,CA-CTCF,3.5536261491317673,0.005605121162308873
11116,252_n737,TF,3.5536261491317673,0.005605121162308873
3803,1631_n1687,CA-CTCF,3.5536261491317673,0.005605121162308873
11436,572_n741,TF,3.5536261491317673,0.005605121162308873
12459,1595_n506,TF,3.5536261491317673,0.005605121162308873
3397,1225_n2264,CA-CTCF,3.535496957403651,0.030150987328392623
11056,192_n827,TF,3.535496957403651,0.030150987328392623
14123,1086_n244,CA-H3K4me3,3.535496957403651,0.030150987328392623
11775,911_n420,TF,3.535496957403651,0.030150987328392623
11338,474_n1699,TF,3.5226464854947825,0.0006018195767563093
12737,1873_n1445,TF,3.488290398126464,0.003096605104925345
11365,501_n1752,TF,3.484472049689441,0.00033568097896316643
781,782_n602,pELS,3.484472049689441,0.00033568097896316643
11733,869_n560,TF,3.4544510525818937,0.00018730515589338855
11077,213_n252,TF,3.441505595116989,0.01631763309472516
13696,659_n191,CA-H3K4me3,3.441505595116989,0.01631763309472516
3654,1482_n4,CA-CTCF,3.441505595116989,0.01631763309472516
10958,94_n525,TF,3.441505595116989,0.01631763309472516
10903,39_n1741,TF,3.441505595116989,0.01631763309472516
11789,925_n1009,TF,3.441505595116989,0.01631763309472516
3613,1441_n1447,CA-CTCF,3.4409044193216856,0.0017163314237509952
11557,693_n1437,TF,3.4409044193216856,0.0017163314237509952
17509,126_n231,exon,3.435337588176016,1.0772000902421936e-08
11943,1079_n250,TF,3.380952380952381,0.008914465712758396
14346,1309_n1839,CA-H3K4me3,3.380952380952381,0.008914465712758396
16600,1390_n1930,PLS,3.380952380952381,0.008914465712758396
3311,1139_n1155,CA-CTCF,3.380952380952381,0.008914465712758396
10924,60_n2669,TF,3.380952380952381,0.008914465712758396
11195,331_n1637,TF,3.380952380952381,0.008914465712758396
11592,728_n1722,TF,3.378490175801448,0.0005304554744780343
10969,105_n1731,TF,3.3395233221231173,0.00490138899970832
2069,2070_n1688,pELS,3.3395233221231173,0.00490138899970832
3095,923_n1306,CA-CTCF,3.3395233221231173,0.00490138899970832
11899,1035_n1458,TF,3.3100616016427105,0.0027069743349010583
